Month,25_0_m,25_0_sd,50_0_m,50_0_sd,0_0_m,0_0_sd,25_45_m,25_45_sd,25_90_m,25_90_sd
Jan,6.013400000000001,0.9195,7.6228,1.3166,3.2855000000000003,0.3337,5.134600000000001,0.7375,3.3909,0.36840000000000006
Feb,10.929300000000001,2.4732,12.947899999999999,3.2626999999999997,6.9782,1.1327,9.6017,2.0069999999999997,6.9288,1.1059
Mar,19.8025,3.5069999999999997,21.272100000000002,4.2389,15.3977,2.0751,18.501199999999997,3.0632,15.2451,2.0347
Apr,28.562600000000003,3.785,28.358800000000002,4.0889,24.9921,2.8045999999999998,27.2471,3.675,23.9062,2.9164999999999996
May,31.1588,3.8999,28.8411,3.7719,29.8887,3.4537,30.296100000000003,3.6049,28.278000000000002,3.0897
Jun,31.1767,2.5936000000000003,28.074499999999997,2.3761,30.959699999999998,2.4541999999999997,30.7113,2.5719,29.2991,2.3755
Jul,30.5554,3.7585,27.8775,3.5246,29.922199999999997,3.4535,29.9545,3.7283999999999997,28.3846,3.3821
Aug,27.6079,2.4522999999999997,26.5096,2.511,25.34,2.0082,26.5673,2.2418,24.0702,1.8226
Sep,22.413800000000002,2.6654,23.3457,3.082,18.342100000000002,1.7509000000000001,21.027800000000003,2.4934,17.7911,1.8446
Oct,15.0173,2.6023,17.240099999999998,3.3402,10.3097,1.3093000000000001,13.5228,2.3701,10.261600000000001,1.545
Nov,7.6228,1.3524,9.4788,1.8899000000000001,4.3461,0.491,6.6312,1.1462999999999999,4.478,0.5915
Dec,5.1326,1.0949,6.7805,1.591,2.4676,0.3549,4.2881,0.8658,2.5814,0.4012
