Latitude (decimal degrees):	53.074
Longitude (decimal degrees):	8.832
Radiation database:	PVGIS-SARAH3
Nominal power of the PV system (c-Si) (kWp):	25.0
System losses(%):	14.0
Fixed slope of modules (deg.):	25
Orientation (azimuth) of modules (deg.):	-45

Fixed angle
Month		E_d		E_m		H(i)_d		H(i)_m		SD_m
1		16.86		522.51		0.85		26.23		76.11
2		35.15		984.08		1.71		47.98		214.64
3		59.13		1833.0		2.93		90.74		304.87
4		91.73		2751.85		4.67		140.05		327.72
5		99.78		3093.22		5.18		160.43		392.9
6		103.76		3112.65		5.51		165.33		260.55
7		98.1		3041.13		5.26		163.05		360.24
8		87.29		2705.86		4.62		143.32		241.05
9		70.77		2123.13		3.64		109.25		228.73
10		43.91		1361.22		2.22		68.83		210.34
11		22.07		662.24		1.12		33.64		107.21
12		14.04		435.19		0.72		22.39		88.8
Year		61.99		1885.51		3.21		97.6		92.0
		AOI loss (%)		Spectral effects (%)		Temperature and low irradiance loss (%)		Combined loss (%)
Fixed angle:		-3.41		1.73		-8.56		-22.73

E_d: Average daily energy production from the given system (kWh/d)
E_m: Average monthly energy production from the given system (kWh/mo)
H(i)_d: Average daily sum of global irradiation per square meter received by the modules of the given system (kWh/m2/d)
H(i)_m: Average monthly sum of global irradiation per square meter received by the modules of the given system (kWh/m2/mo)
SD_m: Standard deviation of the monthly energy production due to year-to-year variation (kWh)


PVGIS (c) European Union, 2001-2025
