Latitude (decimal degrees):	53.074
Longitude (decimal degrees):	8.832
Radiation database:	PVGIS-SARAH3
Nominal power of the PV system (c-Si) (kWp):	25.0
System losses(%):	14.0
Fixed slope of modules (deg.):	25
Orientation (azimuth) of modules (deg.):	90

Fixed angle
Month		E_d		E_m		H(i)_d		H(i)_m		SD_m
1		10.94		339.09		0.6		18.61		36.84
2		24.75		692.88		1.26		35.34		110.59
3		49.18		1524.51		2.46		76.39		203.47
4		79.69		2390.62		4.07		121.95		291.65
5		91.22		2827.8		4.73		146.5		308.97
6		97.66		2929.91		5.18		155.41		237.55
7		91.56		2838.46		4.91		152.08		338.21
8		77.65		2407.02		4.12		127.79		182.26
9		59.3		1779.11		3.08		92.52		184.46
10		33.1		1026.16		1.72		53.47		154.5
11		14.93		447.8		0.81		24.39		59.15
12		8.33		258.14		0.48		14.95		40.12
Year		53.32		1621.79		2.79		84.95		66.64
		AOI loss (%)		Spectral effects (%)		Temperature and low irradiance loss (%)		Combined loss (%)
Fixed angle:		-4.19		1.65		-8.82		-23.64

E_d: Average daily energy production from the given system (kWh/d)
E_m: Average monthly energy production from the given system (kWh/mo)
H(i)_d: Average daily sum of global irradiation per square meter received by the modules of the given system (kWh/m2/d)
H(i)_m: Average monthly sum of global irradiation per square meter received by the modules of the given system (kWh/m2/mo)
SD_m: Standard deviation of the monthly energy production due to year-to-year variation (kWh)


PVGIS (c) European Union, 2001-2025
